subject_id,recording_id,date,metric,value,unit,source,provenance
S1,S1_midterm_1,2024-01-01,heart_rate,103.105,bpm,physionet_wearable_exam_stress,"{""url"":""https://physionet.org/files/wearable-exam-stress/1.0.0/data/S1/midterm_1/HR.csv"",""success"":true,""error"":null,""sha256"":""eef681bc663c699bc084c590210ddd2309f975064b357adf3b0ebe457f900f35"",""rows"":11170,""modality"":""HR""}"
S1,S1_midterm_1,2024-01-01,rr_sd,5687.236,ms,physionet_wearable_exam_stress,"{""url"":""https://physionet.org/files/wearable-exam-stress/1.0.0/data/S1/midterm_1/IBI.csv"",""success"":true,""error"":null,""sha256"":""864a17398855d16982485434f8faa0ad5d334e010a9ed8c3beaa3ef19b66fc82"",""rows"":300,""modality"":""IBI""}"
S1,S1_midterm_1,2024-01-01,eda,0.326,µS,physionet_wearable_exam_stress,"{""url"":""https://physionet.org/files/wearable-exam-stress/1.0.0/data/S1/midterm_1/EDA.csv"",""success"":true,""error"":null,""sha256"":""7b9439f800322a71fd86d47d3b07ba40597b26a546ebf75e83f65975f25da1c4"",""rows"":44713,""modality"":""EDA""}"
S1,S1_midterm_1,2024-01-01,skin_temp,26.418,°C,physionet_wearable_exam_stress,"{""url"":""https://physionet.org/files/wearable-exam-stress/1.0.0/data/S1/midterm_1/TEMP.csv"",""success"":true,""error"":null,""sha256"":""4ca13a95bdee07db24d78b94a3bbea157523dd643579e0bf4dd4458bd7d76a14"",""rows"":44713,""modality"":""TEMP""}"
